1	00:50:00
2	00:50:10
3	00:50:20
4	00:50:30
5	00:50:40
6	00:50:50
7	00:51:00
8	00:51:10
9	00:51:20
10	00:51:30
11	00:51:40
12	00:51:50
13	00:52:00
14	00:52:10
15	00:52:20
16	00:52:30
17	00:52:40
18	00:52:50
19	00:53:00
20	00:53:10
21	00:53:20
22	00:53:30
23	00:53:40
24	00:53:50
25	00:54:00
26	00:54:10
27	00:54:20
28	00:54:30
29	00:54:40
30	00:54:50
31	00:55:00
32	00:55:10
33	00:55:20
34	00:55:30
35	00:55:40
36	00:55:50
37	00:56:00
38	00:56:10
39	00:56:20
40	00:56:30
41	00:56:40
42	00:56:50
43	00:57:00
44	00:57:10
45	00:57:20
46	00:57:30
47	00:57:40
48	00:57:50
49	00:58:00
50	00:58:10
51	00:58:20
52	00:58:30
53	00:58:40
54	00:58:50
55	00:59:00
56	00:59:10
57	00:59:20
58	00:59:30
59	00:59:40
60	00:59:50
61	01:00:00
62	01:00:10
63	01:00:20
64	01:00:30
65	01:00:40
66	01:00:50
67	01:01:00
68	01:01:10
69	01:01:20
70	01:01:30
71	01:01:40
72	01:01:50
73	01:02:00
74	01:02:10
75	01:02:20
76	01:02:30
77	01:02:40
78	01:02:50
79	01:03:00
80	01:03:10
84	01:03:20
87	01:03:30
88	01:03:40
90	01:03:50
91	01:04:00
92	01:04:10
96	01:04:20
101	01:04:30
106	01:04:40
110	01:04:50
123	01:05:00
127	01:05:10
134	01:05:20
135	01:05:30
136	01:05:40
137	01:05:50
138	01:06:00
139	01:06:10
140	01:06:20
141	01:06:30
142	01:06:40
143	01:06:50
144	01:07:00
145	01:07:10
146	01:07:20
147	01:07:30
148	01:07:40
149	01:07:50
150	01:08:00
151	01:08:10
152	01:08:20
153	01:08:30
154	01:08:40
155	01:08:50
156	01:09:00
157	01:09:10
158	01:09:20
159	01:09:30
160	01:09:40
161	01:09:50
162	01:10:00
163	01:10:10
164	01:10:20
165	01:10:30
166	01:10:40
167	01:10:50
168	01:11:00
169	01:11:10
170	01:11:20
171	01:11:30
172	01:11:40
173	01:11:50
174	01:12:00
175	01:12:10
176	01:12:20
177	01:12:30
178	01:12:40
179	01:12:50
180	01:13:00
181	01:13:10
182	01:13:20
183	01:13:30
184	01:13:40
185	01:13:50
186	01:14:00
187	01:14:10
188	01:14:20
189	01:14:30
190	01:14:40
191	01:14:50
192	01:15:00
193	01:15:10
194	01:15:20
195	01:15:30
196	01:15:40
