16	27:29
17	29:19
15	29:41
22	31:08
44	31:57
14	33:01
8	33:20
42	34:41
7	34:46
48	35:12
5	35:28
4	35:58
38	36:15
40	36:23
45	36:27
9	37:17
30	37:25
55	37:35
34	38:10
31	38:23
18	38:28
41	38:39
11	38:43
3	38:45
192	38:48
23	38:54
19	39:38
28	39:42
53	40:02
37	40:21
24	40:31
182	40:45
32	40:53
185	40:56
190	41:04
1	41:09
29	41:11
39	41:13
21	41:20
52	41:28
46	41:40
13	41:42
25	42:07
188	42:44
26	42:55
56	43:03
184	43:39
187	43:46
183	43:48
12	44:14
50	44:43
186	44:58
10	45:03
47	45:09
51	45:51
20	46:12
288	46:25
6	46:32
36	46:34
287	47:05
191	47:15
54	47:29
35	49:43
2	51:58
286	52:10
285	53:10
27	54:08
43	54:34
189	56:20
49	57:54
33	64:03
